,DataBases,Spots,% Relevance
0,Oracle ,1270.35,17.561382239136712
1,MySQL ,1219.77,16.862161777330492
2,Microsoft SQL Server ,970.61,13.417761416246298
3,PostgreSQL ,586.97,8.114302777113455
4,MongoDB ,493.55,6.82286000246068
5,Redis ,171.35,2.368751010883675
6,IBM Db2,165.96,2.294239380018994
7,Elasticsearch,158.25,2.1876559525669186
8,SQLite ,129.37,1.7884173812548643
9,Cassandra ,119.28,1.6489327142002026
10,Microsoft Access,116.38,1.6088429684659586
11,MariaDB ,102.59,1.4182093154745037
12,Splunk,90.61,1.2525971934413176
13,Hive ,84.74,1.1714500184551069
14,Microsoft Azure SQL Database,79.72,1.102053286184106
15,Amazon DynamoDB ,76.55,1.0582310468815015
16,Teradata ,69.83,0.9653334291800817
17,Snowflake ,58.26,0.8053891677507025
18,Neo4j ,57.87,0.7999977881519593
19,SAP HANA ,55.28,0.764193497996204
20,FileMaker,52.84,0.7304628153784265
21,Solr,51.17,0.7073766514556034
22,SAP Adaptive Server,48.59,0.6717106018023796
23,HBase ,45.2,0.624847071444074
24,Google BigQuery ,43.79,0.6053551605870797
25,Microsoft Azure Cosmos DB ,40.29,0.5569709847009235
26,PostGIS,31.64,0.4373929500108518
27,InfluxDB ,28.52,0.39426191322090687
28,Couchbase ,27.91,0.38582924256646256
29,Firebird,26.03,0.3598400280904701
30,Memcached,26.02,0.3597017875879382
31,Amazon Redshift ,24.27,0.3355096996448601
32,Informix,23.12,0.3196120418536945
33,Spark SQL ,22.94,0.3171237128081208
34,Vertica ,20.31,0.2807664606422377
35,Netezza,19.62,0.27122786596753834
36,Firebase Realtime Database,19.02,0.2629334358156259
37,Impala,18.68,0.2582332587295421
38,Microsoft Azure Synapse Analytics,17.27,0.23874134787254778
39,CouchDB,15.79,0.2182817534978303
40,dBASE,14.19,0.19616327309273032
41,Greenplum,13.07,0.18068033680916037
42,Presto,12.74,0.17611840022560848
43,Amazon Aurora,11.69,0.16160314745976165
44,ClickHouse,10.68,0.14764085670404228
45,etcd,10.19,0.1408670720799804
46,H2,9.72,0.1343697684609823
47,Hazelcast ,9.66,0.13354032544579106
